,Date,Price (Euros)
0,19.08.2022,1.41
1,20.08.2022,1.97
2,21.08.2022,1.52
3,22.08.2022,1.16
4,23.08.2022,2.7
5,24.08.2022,2.31
6,25.08.2022,1.4
7,26.08.2022,1.25
8,28.08.2022,0.9
9,29.08.2022,0.5
10,30.08.2022,2.99
11,31.08.2022,1.55
12,01.09.2022,0.75
13,02.09.2022,1.6
14,03.09.2022,1.1
15,04.09.2022,3.41
16,06.09.2022,0.84
17,07.09.2022,2.95
18,08.09.2022,2.45
19,09.09.2022,0.78
20,12.09.2022,1.31
21,13.09.2022,0.95
22,14.09.2022,1.9
23,15.09.2022,1.3
24,16.09.2022,2.26
25,17.09.2022,1.72
26,18.09.2022,2.39
27,19.09.2022,1.64
28,20.09.2022,1.47
29,21.09.2022,1.06
30,22.09.2022,1.87
31,23.09.2022,1.66
32,24.09.2022,1.47
33,25.09.2022,2.17
34,26.09.2022,0.86
35,27.09.2022,1.02
36,28.09.2022,2.27
37,29.09.2022,1.49
38,30.09.2022,2.21
39,01.10.2022,3.9
40,02.10.2022,1.56
41,03.10.2022,2.53
42,04.10.2022,2.44
43,05.10.2022,2.17
