,Date,Price (Euros)
0,22.08.2022,0.56
1,23.08.2022,0.36
2,24.08.2022,0.48
3,26.08.2022,0.09
4,27.08.2022,0.5
5,28.08.2022,0.15
6,29.08.2022,0.34
7,30.08.2022,0.23
8,31.08.2022,0.82
9,01.09.2022,0.49
10,02.09.2022,1.01
11,03.09.2022,0.14
12,04.09.2022,0.49
13,05.09.2022,0.4
14,06.09.2022,0.9
15,07.09.2022,1.16
16,08.09.2022,0.5
17,09.09.2022,0.23
18,10.09.2022,0.1
19,11.09.2022,0.5
20,12.09.2022,1.36
21,13.09.2022,0.3
22,14.09.2022,0.3
23,15.09.2022,1.16
24,16.09.2022,0.79
25,17.09.2022,0.39
26,18.09.2022,1.02
27,19.09.2022,0.62
28,20.09.2022,0.3
29,21.09.2022,0.77
30,22.09.2022,0.72
31,23.09.2022,0.46
32,24.09.2022,0.7
33,26.09.2022,0.43
34,27.09.2022,0.5
35,28.09.2022,0.49
36,29.09.2022,0.1
37,30.09.2022,0.08
38,01.10.2022,0.68
39,02.10.2022,0.69
40,03.10.2022,0.9
41,04.10.2022,0.5
42,05.10.2022,1.77
