,Date,Price (Euros)
0,06.08.2022,0.02
1,07.08.2022,0.02
2,09.08.2022,0.03
3,10.08.2022,0.02
4,13.08.2022,0.04
5,14.08.2022,0.02
6,16.08.2022,0.1
7,17.08.2022,0.02
8,18.08.2022,0.1
9,19.08.2022,0.06
10,20.08.2022,0.05
11,21.08.2022,0.02
12,23.08.2022,0.02
13,25.08.2022,0.02
14,27.08.2022,0.02
15,28.08.2022,0.02
16,29.08.2022,0.19
17,30.08.2022,0.02
18,01.09.2022,0.09
19,02.09.2022,0.08
20,04.09.2022,0.02
21,06.09.2022,0.02
22,09.09.2022,0.02
23,10.09.2022,0.02
24,13.09.2022,0.02
25,15.09.2022,0.02
26,16.09.2022,0.02
27,17.09.2022,0.02
28,18.09.2022,0.02
29,19.09.2022,0.04
30,20.09.2022,0.02
31,21.09.2022,0.02
32,23.09.2022,0.02
33,25.09.2022,0.05
34,26.09.2022,0.02
35,27.09.2022,0.03
36,28.09.2022,0.07
37,29.09.2022,0.02
38,01.10.2022,0.02
