,Date,Price (Euros)
0,11.06.2022,7.0
1,12.06.2022,23.95
2,13.06.2022,22.0
3,14.06.2022,19.45
4,15.06.2022,23.75
5,22.06.2022,25.49
6,23.06.2022,18.49
7,25.06.2022,15.0
8,30.06.2022,20.0
9,04.07.2022,19.99
10,05.07.2022,29.99
11,10.07.2022,17.99
12,12.07.2022,10.99
13,18.07.2022,14.0
14,19.07.2022,14.99
15,21.07.2022,14.0
16,22.07.2022,13.0
17,23.07.2022,15.0
18,28.07.2022,15.75
19,29.07.2022,15.0
20,30.07.2022,16.4
21,07.08.2022,20.0
22,09.08.2022,15.0
23,15.08.2022,17.49
24,26.08.2022,13.5
25,30.08.2022,18.0
26,03.09.2022,7.83
27,15.09.2022,14.67
28,16.09.2022,16.0
29,17.09.2022,7.5
30,21.09.2022,10.99
31,22.09.2022,13.0
32,24.09.2022,12.99
33,26.09.2022,7.99
34,29.09.2022,11.33
35,30.09.2022,10.0
36,02.10.2022,9.49
37,04.10.2022,14.0
38,05.10.2022,11.25
