,Date,Price (Euros)
0,23.08.2022,0.15
1,24.08.2022,0.42
2,25.08.2022,0.23
3,26.08.2022,0.2
4,27.08.2022,0.16
5,28.08.2022,0.05
6,29.08.2022,0.24
7,30.08.2022,0.06
8,31.08.2022,0.14
9,01.09.2022,0.26
10,02.09.2022,0.34
11,03.09.2022,0.26
12,04.09.2022,0.15
13,05.09.2022,0.2
14,06.09.2022,0.22
15,07.09.2022,0.21
16,08.09.2022,0.19
17,09.09.2022,0.5
18,10.09.2022,0.66
19,11.09.2022,0.21
20,12.09.2022,0.2
21,13.09.2022,0.2
22,14.09.2022,0.37
23,15.09.2022,0.42
24,16.09.2022,0.23
25,17.09.2022,0.21
26,18.09.2022,0.3
27,19.09.2022,0.22
28,20.09.2022,0.17
29,21.09.2022,0.28
30,22.09.2022,0.23
31,23.09.2022,0.26
32,24.09.2022,0.27
33,25.09.2022,0.28
34,26.09.2022,0.22
35,27.09.2022,0.26
36,28.09.2022,0.55
37,29.09.2022,0.1
38,30.09.2022,0.28
39,01.10.2022,0.19
40,02.10.2022,0.26
41,03.10.2022,0.21
42,04.10.2022,0.19
43,05.10.2022,0.52
