,Date,Price (Euros)
0,19.08.2022,0.03
1,20.08.2022,0.05
2,21.08.2022,0.02
3,22.08.2022,0.03
4,23.08.2022,0.02
5,24.08.2022,0.09
6,26.08.2022,0.07
7,27.08.2022,0.02
8,29.08.2022,0.02
9,30.08.2022,0.02
10,31.08.2022,0.22
11,01.09.2022,0.16
12,02.09.2022,0.05
13,03.09.2022,0.14
14,04.09.2022,0.09
15,05.09.2022,0.03
16,06.09.2022,0.02
17,08.09.2022,0.02
18,09.09.2022,0.09
19,10.09.2022,0.02
20,11.09.2022,0.02
21,12.09.2022,0.06
22,13.09.2022,0.02
23,14.09.2022,0.06
24,15.09.2022,0.03
25,16.09.2022,0.04
26,17.09.2022,0.1
27,19.09.2022,0.05
28,20.09.2022,0.06
29,21.09.2022,0.02
30,22.09.2022,0.02
31,23.09.2022,0.04
32,24.09.2022,0.05
33,25.09.2022,0.04
34,26.09.2022,0.02
35,27.09.2022,0.04
36,28.09.2022,0.04
37,30.09.2022,0.03
38,01.10.2022,0.06
39,02.10.2022,0.02
40,03.10.2022,0.05
41,04.10.2022,0.05
42,05.10.2022,0.21
