,Date,Price (Euros)
0,22.08.2022,0.16
1,23.08.2022,0.08
2,24.08.2022,0.12
3,25.08.2022,0.15
4,26.08.2022,0.15
5,27.08.2022,0.19
6,28.08.2022,0.07
7,29.08.2022,0.12
8,30.08.2022,0.29
9,31.08.2022,0.07
10,01.09.2022,0.17
11,02.09.2022,0.04
12,03.09.2022,0.17
13,04.09.2022,0.14
14,05.09.2022,0.12
15,06.09.2022,0.09
16,07.09.2022,0.07
17,08.09.2022,0.07
18,09.09.2022,0.1
19,11.09.2022,0.13
20,12.09.2022,0.3
21,13.09.2022,0.16
22,14.09.2022,0.16
23,15.09.2022,0.13
24,16.09.2022,0.17
25,17.09.2022,0.07
26,18.09.2022,0.24
27,19.09.2022,0.22
28,20.09.2022,0.16
29,21.09.2022,0.12
30,22.09.2022,0.18
31,23.09.2022,0.2
32,24.09.2022,0.3
33,25.09.2022,0.26
34,26.09.2022,0.24
35,27.09.2022,0.16
36,28.09.2022,0.08
37,29.09.2022,0.08
38,30.09.2022,0.18
39,01.10.2022,0.15
40,02.10.2022,0.17
41,03.10.2022,0.05
42,04.10.2022,0.19
43,05.10.2022,0.21
