,Date,Price (Euros)
0,23.08.2022,0.06
1,24.08.2022,0.07
2,25.08.2022,0.23
3,26.08.2022,0.13
4,27.08.2022,0.52
5,28.08.2022,0.14
6,29.08.2022,0.05
7,30.08.2022,0.21
8,31.08.2022,0.23
9,01.09.2022,0.16
10,02.09.2022,0.08
11,03.09.2022,0.09
12,04.09.2022,0.24
13,05.09.2022,0.23
14,06.09.2022,0.12
15,07.09.2022,0.14
16,08.09.2022,0.16
17,09.09.2022,0.18
18,10.09.2022,0.18
19,11.09.2022,0.09
20,12.09.2022,0.15
21,13.09.2022,0.07
22,14.09.2022,0.12
23,15.09.2022,0.13
24,16.09.2022,0.09
25,17.09.2022,0.14
26,18.09.2022,0.26
27,19.09.2022,0.13
28,20.09.2022,0.08
29,21.09.2022,0.12
30,22.09.2022,0.2
31,23.09.2022,0.32
32,24.09.2022,0.11
33,25.09.2022,0.07
34,26.09.2022,0.1
35,27.09.2022,0.13
36,28.09.2022,0.1
37,29.09.2022,0.25
38,30.09.2022,0.09
39,01.10.2022,0.1
40,02.10.2022,0.41
41,03.10.2022,0.13
42,04.10.2022,0.11
43,05.10.2022,0.19
