,Date,Price (Euros)
0,22.08.2022,0.24
1,23.08.2022,0.06
2,24.08.2022,0.22
3,25.08.2022,0.15
4,26.08.2022,0.12
5,27.08.2022,0.05
6,28.08.2022,0.29
7,29.08.2022,0.11
8,30.08.2022,0.11
9,31.08.2022,0.15
10,01.09.2022,0.28
11,02.09.2022,1.49
12,03.09.2022,0.08
13,04.09.2022,0.1
14,05.09.2022,0.16
15,06.09.2022,0.1
16,07.09.2022,0.13
17,08.09.2022,0.17
18,09.09.2022,0.1
19,10.09.2022,0.02
20,11.09.2022,0.23
21,12.09.2022,0.06
22,13.09.2022,0.21
23,14.09.2022,0.23
24,15.09.2022,0.05
25,17.09.2022,0.08
26,18.09.2022,0.02
27,19.09.2022,0.06
28,20.09.2022,0.06
29,21.09.2022,0.15
30,22.09.2022,0.07
31,25.09.2022,0.1
32,26.09.2022,0.09
33,27.09.2022,0.13
34,28.09.2022,0.23
35,29.09.2022,0.24
36,30.09.2022,0.07
37,01.10.2022,0.1
38,02.10.2022,0.11
39,03.10.2022,0.69
40,04.10.2022,0.33
41,05.10.2022,0.1
