,Date,Price (Euros)
0,19.07.2022,42.5
1,20.07.2022,46.0
2,22.07.2022,40.73
3,24.07.2022,30.0
4,25.07.2022,40.0
5,26.07.2022,40.0
6,28.07.2022,37.35
7,31.07.2022,44.0
8,01.08.2022,38.99
9,02.08.2022,39.0
10,03.08.2022,40.0
11,04.08.2022,35.0
12,05.08.2022,30.0
13,06.08.2022,36.5
14,08.08.2022,42.49
15,09.08.2022,40.0
16,11.08.2022,45.9
17,12.08.2022,38.33
18,16.08.2022,45.0
19,21.08.2022,37.62
20,24.08.2022,32.5
21,29.08.2022,29.9
22,31.08.2022,27.5
23,02.09.2022,31.45
24,03.09.2022,29.99
25,04.09.2022,30.99
26,06.09.2022,34.5
27,12.09.2022,26.99
28,14.09.2022,24.99
29,20.09.2022,37.45
30,24.09.2022,22.5
31,26.09.2022,24.99
32,27.09.2022,28.0
33,28.09.2022,49.99
