,Date,Price (Euros)
0,23.08.2022,0.09
1,24.08.2022,0.19
2,25.08.2022,0.09
3,26.08.2022,0.23
4,27.08.2022,0.22
5,28.08.2022,0.28
6,29.08.2022,0.11
7,30.08.2022,0.15
8,31.08.2022,0.19
9,01.09.2022,0.12
10,02.09.2022,0.07
11,03.09.2022,0.11
12,04.09.2022,0.11
13,05.09.2022,0.14
14,06.09.2022,0.13
15,07.09.2022,0.12
16,08.09.2022,0.15
17,09.09.2022,0.18
18,10.09.2022,0.06
19,11.09.2022,0.17
20,12.09.2022,0.22
21,13.09.2022,0.15
22,14.09.2022,0.11
23,15.09.2022,0.17
24,16.09.2022,0.11
25,17.09.2022,0.18
26,18.09.2022,0.23
27,19.09.2022,0.1
28,20.09.2022,0.3
29,21.09.2022,0.21
30,22.09.2022,0.18
31,23.09.2022,0.21
32,24.09.2022,0.22
33,25.09.2022,0.11
34,26.09.2022,0.17
35,27.09.2022,0.26
36,28.09.2022,0.18
37,29.09.2022,0.13
38,30.09.2022,0.16
39,01.10.2022,0.12
40,02.10.2022,0.18
41,03.10.2022,0.17
42,04.10.2022,0.28
43,05.10.2022,0.2
