,Date,Price (Euros)
0,04.07.2022,28.25
1,08.07.2022,29.44
2,09.07.2022,29.45
3,12.07.2022,28.0
4,13.07.2022,25.0
5,14.07.2022,32.0
6,15.07.2022,27.0
7,18.07.2022,29.99
8,19.07.2022,28.0
9,01.08.2022,23.5
10,02.08.2022,29.99
11,05.08.2022,29.99
12,07.08.2022,29.9
13,08.08.2022,29.95
14,09.08.2022,29.0
15,10.08.2022,29.0
16,15.08.2022,29.99
17,17.08.2022,25.99
18,18.08.2022,24.98
19,21.08.2022,29.99
20,23.08.2022,27.6
21,24.08.2022,30.89
22,25.08.2022,24.5
23,26.08.2022,29.99
24,28.08.2022,25.0
25,06.09.2022,28.95
26,07.09.2022,30.0
27,08.09.2022,27.24
28,14.09.2022,29.9
29,19.09.2022,32.4
