,Date,Price (Euros)
0,07.04.2022,0.43
1,08.04.2022,0.19
2,09.04.2022,0.19
3,10.04.2022,0.49
4,12.04.2022,0.15
5,15.04.2022,0.38
6,23.04.2022,0.59
7,24.04.2022,0.49
8,01.05.2022,1.0
9,02.05.2022,0.4
10,04.05.2022,0.49
11,05.05.2022,0.48
12,09.05.2022,0.4
13,18.05.2022,0.23
14,22.05.2022,0.1
15,27.05.2022,0.29
16,01.06.2022,0.49
17,03.06.2022,0.34
18,04.06.2022,1.0
19,21.06.2022,0.45
20,22.06.2022,1.13
21,29.06.2022,0.2
22,01.07.2022,0.7
23,06.07.2022,0.2
24,18.07.2022,0.34
25,20.07.2022,0.48
26,21.07.2022,0.1
27,02.08.2022,1.0
28,22.08.2022,0.18
29,25.08.2022,0.18
