,Date,Price (Euros)
0,18.07.2022,1.34
1,19.07.2022,1.49
2,20.07.2022,1.9
3,23.07.2022,1.49
4,24.07.2022,1.4
5,03.08.2022,5.99
6,07.08.2022,1.66
7,14.08.2022,5.65
8,15.08.2022,1.5
9,17.08.2022,2.89
10,18.08.2022,4.6
11,19.08.2022,1.9
12,22.08.2022,2.0
13,24.08.2022,6.02
14,25.08.2022,1.72
15,29.08.2022,5.0
16,31.08.2022,2.0
17,05.09.2022,1.95
18,06.09.2022,2.95
19,07.09.2022,2.48
20,09.09.2022,1.94
21,10.09.2022,1.9
22,12.09.2022,2.59
23,14.09.2022,1.5
24,15.09.2022,1.99
25,17.09.2022,3.83
26,18.09.2022,2.16
27,19.09.2022,2.48
28,20.09.2022,2.48
29,21.09.2022,3.95
30,24.09.2022,2.0
31,25.09.2022,5.67
32,27.09.2022,2.94
33,28.09.2022,6.5
34,29.09.2022,1.5
35,01.10.2022,1.49
36,04.10.2022,1.95
37,05.10.2022,1.53
