,Date,Price (Euros)
0,01.08.2022,0.15
1,03.08.2022,0.69
2,04.08.2022,0.3
3,05.08.2022,0.1
4,06.08.2022,0.05
5,10.08.2022,0.25
6,11.08.2022,0.2
7,15.08.2022,0.28
8,19.08.2022,0.14
9,20.08.2022,0.31
10,22.08.2022,0.14
11,23.08.2022,0.12
12,25.08.2022,0.14
13,30.08.2022,0.13
14,31.08.2022,0.35
15,01.09.2022,0.06
16,03.09.2022,0.89
17,04.09.2022,0.09
18,05.09.2022,0.1
19,07.09.2022,0.1
20,08.09.2022,0.07
21,10.09.2022,0.19
22,11.09.2022,0.29
23,12.09.2022,0.4
24,13.09.2022,0.17
25,15.09.2022,0.15
26,17.09.2022,0.1
27,18.09.2022,0.08
28,19.09.2022,0.11
29,20.09.2022,0.05
30,22.09.2022,0.18
31,23.09.2022,0.09
32,24.09.2022,0.15
33,27.09.2022,0.17
34,28.09.2022,0.13
35,29.09.2022,0.14
36,30.09.2022,0.05
37,01.10.2022,0.38
38,02.10.2022,0.17
39,04.10.2022,0.02
