,Date,Price (Euros)
0,02.08.2022,0.26
1,03.08.2022,0.24
2,04.08.2022,0.15
3,05.08.2022,0.1
4,06.08.2022,0.05
5,07.08.2022,0.02
6,09.08.2022,0.1
7,11.08.2022,0.16
8,15.08.2022,0.17
9,17.08.2022,0.38
10,18.08.2022,0.25
11,19.08.2022,0.03
12,20.08.2022,0.35
13,22.08.2022,0.12
14,23.08.2022,0.13
15,24.08.2022,0.22
16,29.08.2022,0.25
17,30.08.2022,0.21
18,03.09.2022,0.29
19,04.09.2022,0.12
20,05.09.2022,0.06
21,08.09.2022,0.16
22,09.09.2022,0.37
23,11.09.2022,0.05
24,13.09.2022,0.13
25,16.09.2022,0.07
26,17.09.2022,0.04
27,18.09.2022,0.09
28,20.09.2022,0.05
29,21.09.2022,0.06
30,22.09.2022,0.25
31,25.09.2022,0.09
32,27.09.2022,0.09
33,29.09.2022,0.07
34,01.10.2022,0.2
35,04.10.2022,0.09
36,05.10.2022,0.04
