,Date,Price (Euros)
0,11.07.2022,0.39
1,13.07.2022,0.14
2,14.07.2022,0.09
3,16.07.2022,0.2
4,20.07.2022,0.05
5,21.07.2022,0.08
6,23.07.2022,0.1
7,26.07.2022,0.24
8,29.07.2022,0.05
9,30.07.2022,0.05
10,02.08.2022,0.24
11,04.08.2022,0.19
12,06.08.2022,0.02
13,07.08.2022,0.02
14,08.08.2022,0.05
15,11.08.2022,0.05
16,13.08.2022,0.04
17,15.08.2022,0.02
18,16.08.2022,0.35
19,23.08.2022,0.09
20,24.08.2022,0.05
21,27.08.2022,0.02
22,04.09.2022,0.02
23,05.09.2022,0.09
24,08.09.2022,0.02
25,09.09.2022,0.09
26,15.09.2022,0.09
27,17.09.2022,0.08
28,18.09.2022,0.09
29,21.09.2022,0.06
30,27.09.2022,0.09
31,28.09.2022,0.05
32,29.09.2022,0.02
33,01.10.2022,0.1
34,03.10.2022,0.05
35,04.10.2022,0.02
36,05.10.2022,0.1
