,Date,Price (Euros)
0,07.05.2022,0.03
1,09.05.2022,0.2
2,10.05.2022,0.03
3,13.05.2022,0.02
4,21.05.2022,0.04
5,24.05.2022,0.2
6,26.05.2022,0.02
7,01.06.2022,0.02
8,03.06.2022,0.02
9,09.06.2022,0.1
10,13.06.2022,0.09
11,14.06.2022,0.03
12,18.06.2022,0.1
13,21.06.2022,0.09
14,22.06.2022,0.02
15,06.07.2022,0.15
16,07.07.2022,0.09
17,09.07.2022,0.09
18,23.07.2022,0.2
19,29.07.2022,0.05
20,04.08.2022,0.19
21,07.08.2022,0.05
22,15.08.2022,0.08
23,22.08.2022,0.2
24,23.08.2022,0.05
25,05.09.2022,0.05
26,09.09.2022,0.1
27,12.09.2022,0.2
28,17.09.2022,0.05
29,18.09.2022,0.15
30,03.10.2022,0.2
