,Date,Price (Euros)
0,24.07.2022,0.11
1,28.07.2022,0.04
2,30.07.2022,0.05
3,01.08.2022,0.1
4,02.08.2022,0.1
5,03.08.2022,0.16
6,04.08.2022,0.24
7,12.08.2022,0.11
8,14.08.2022,0.1
9,15.08.2022,0.07
10,16.08.2022,0.23
11,19.08.2022,0.06
12,21.08.2022,0.25
13,22.08.2022,0.15
14,23.08.2022,0.05
15,26.08.2022,0.09
16,29.08.2022,0.25
17,30.08.2022,0.23
18,01.09.2022,0.04
19,02.09.2022,0.25
20,05.09.2022,0.13
21,11.09.2022,0.07
22,12.09.2022,0.16
23,15.09.2022,0.05
24,16.09.2022,0.05
25,17.09.2022,0.06
26,18.09.2022,0.07
27,19.09.2022,0.05
28,20.09.2022,0.05
29,21.09.2022,0.2
30,25.09.2022,0.1
31,26.09.2022,0.08
32,28.09.2022,0.1
33,29.09.2022,0.05
34,01.10.2022,0.13
35,04.10.2022,0.09
