,Date,Price (Euros)
0,16.08.2022,0.19
1,17.08.2022,0.04
2,18.08.2022,0.1
3,19.08.2022,0.21
4,20.08.2022,0.19
5,21.08.2022,0.39
6,23.08.2022,0.22
7,24.08.2022,0.22
8,25.08.2022,0.21
9,26.08.2022,0.21
10,27.08.2022,0.33
11,28.08.2022,0.14
12,29.08.2022,0.41
13,30.08.2022,0.34
14,31.08.2022,0.3
15,01.09.2022,0.44
16,02.09.2022,0.19
17,03.09.2022,0.32
18,04.09.2022,0.16
19,05.09.2022,0.5
20,06.09.2022,0.48
21,07.09.2022,0.25
22,10.09.2022,0.71
23,13.09.2022,0.28
24,14.09.2022,0.21
25,15.09.2022,0.28
26,16.09.2022,0.3
27,17.09.2022,0.29
28,18.09.2022,0.02
29,20.09.2022,0.25
30,21.09.2022,0.15
31,22.09.2022,0.36
32,24.09.2022,0.32
33,25.09.2022,0.5
34,26.09.2022,0.29
35,27.09.2022,0.32
36,28.09.2022,0.31
37,29.09.2022,0.48
38,30.09.2022,0.4
39,03.10.2022,0.41
40,04.10.2022,0.2
41,05.10.2022,0.23
