,Date,Price (Euros)
0,21.08.2022,0.09
1,22.08.2022,0.13
2,23.08.2022,0.05
3,24.08.2022,0.09
4,25.08.2022,0.14
5,26.08.2022,0.06
6,27.08.2022,0.08
7,28.08.2022,0.19
8,29.08.2022,0.02
9,30.08.2022,0.03
10,31.08.2022,0.19
11,01.09.2022,0.1
12,02.09.2022,0.04
13,03.09.2022,0.09
14,04.09.2022,0.09
15,05.09.2022,0.09
16,06.09.2022,0.13
17,07.09.2022,0.15
18,08.09.2022,0.08
19,09.09.2022,0.06
20,10.09.2022,0.07
21,11.09.2022,0.1
22,12.09.2022,0.11
23,13.09.2022,0.07
24,15.09.2022,0.12
25,16.09.2022,0.05
26,17.09.2022,0.04
27,18.09.2022,0.11
28,19.09.2022,0.12
29,20.09.2022,0.17
30,21.09.2022,0.11
31,22.09.2022,0.02
32,23.09.2022,0.33
33,24.09.2022,0.2
34,26.09.2022,0.02
35,27.09.2022,0.06
36,28.09.2022,0.11
37,29.09.2022,0.06
38,30.09.2022,0.15
39,01.10.2022,0.21
40,02.10.2022,0.07
41,05.10.2022,0.1
