,Date,Price (Euros)
0,22.08.2022,3.99
1,23.08.2022,3.97
2,24.08.2022,4.17
3,25.08.2022,3.99
4,26.08.2022,3.73
5,27.08.2022,3.69
6,28.08.2022,3.86
7,29.08.2022,3.92
8,30.08.2022,3.99
9,31.08.2022,4.24
10,01.09.2022,3.65
11,02.09.2022,3.77
12,03.09.2022,3.96
13,04.09.2022,3.73
14,05.09.2022,4.34
15,06.09.2022,4.09
16,07.09.2022,3.98
17,08.09.2022,3.96
18,09.09.2022,3.99
19,10.09.2022,3.73
20,11.09.2022,4.97
21,12.09.2022,3.81
22,13.09.2022,4.48
23,14.09.2022,4.05
24,15.09.2022,4.01
25,16.09.2022,4.32
26,17.09.2022,4.62
27,18.09.2022,4.47
28,19.09.2022,4.36
29,20.09.2022,4.0
30,21.09.2022,4.22
31,22.09.2022,4.45
32,23.09.2022,4.14
33,24.09.2022,4.93
34,25.09.2022,4.29
35,26.09.2022,3.93
36,27.09.2022,4.41
37,28.09.2022,4.13
38,29.09.2022,4.14
39,30.09.2022,4.05
40,01.10.2022,5.35
41,02.10.2022,4.56
42,03.10.2022,4.13
43,04.10.2022,4.32
44,05.10.2022,4.84
