,Date,Price (Euros)
0,05.08.2022,0.2
1,07.08.2022,0.07
2,08.08.2022,0.2
3,09.08.2022,0.03
4,10.08.2022,0.02
5,11.08.2022,0.05
6,12.08.2022,0.09
7,13.08.2022,0.07
8,15.08.2022,0.06
9,16.08.2022,0.1
10,18.08.2022,0.04
11,19.08.2022,0.03
12,21.08.2022,0.06
13,22.08.2022,0.02
14,23.08.2022,0.13
15,25.08.2022,0.02
16,26.08.2022,0.02
17,27.08.2022,0.02
18,28.08.2022,0.05
19,29.08.2022,0.05
20,30.08.2022,0.02
21,01.09.2022,0.05
22,02.09.2022,0.04
23,04.09.2022,0.05
24,05.09.2022,0.05
25,06.09.2022,0.14
26,09.09.2022,0.05
27,12.09.2022,0.02
28,15.09.2022,0.07
29,18.09.2022,0.02
30,23.09.2022,0.05
31,26.09.2022,0.02
32,28.09.2022,0.02
