,Date,Price (Euros)
0,10.08.2022,0.04
1,12.08.2022,0.04
2,13.08.2022,0.05
3,14.08.2022,0.02
4,15.08.2022,0.03
5,16.08.2022,0.06
6,17.08.2022,0.15
7,19.08.2022,0.06
8,22.08.2022,0.08
9,23.08.2022,0.16
10,25.08.2022,0.14
11,26.08.2022,0.02
12,27.08.2022,0.05
13,28.08.2022,0.08
14,29.08.2022,0.06
15,30.08.2022,0.04
16,31.08.2022,0.12
17,01.09.2022,0.2
18,02.09.2022,0.04
19,04.09.2022,0.02
20,05.09.2022,0.05
21,06.09.2022,0.05
22,07.09.2022,0.05
23,09.09.2022,0.06
24,10.09.2022,0.02
25,11.09.2022,0.02
26,12.09.2022,0.08
27,15.09.2022,0.04
28,16.09.2022,0.04
29,18.09.2022,0.05
30,21.09.2022,0.05
31,22.09.2022,0.02
32,23.09.2022,0.09
33,26.09.2022,0.31
34,27.09.2022,0.05
35,30.09.2022,0.03
36,01.10.2022,0.15
37,02.10.2022,0.02
38,04.10.2022,0.16
39,05.10.2022,0.04
