,Date,Price (Euros)
0,21.08.2022,10.87
1,22.08.2022,8.86
2,23.08.2022,8.9
3,24.08.2022,9.06
4,25.08.2022,8.44
5,26.08.2022,9.2
6,27.08.2022,6.99
7,28.08.2022,8.3
8,29.08.2022,8.25
9,30.08.2022,9.57
10,31.08.2022,8.67
11,01.09.2022,8.45
12,02.09.2022,8.25
13,03.09.2022,8.69
14,04.09.2022,8.99
15,05.09.2022,9.54
16,06.09.2022,8.66
17,07.09.2022,8.35
18,08.09.2022,10.13
19,09.09.2022,9.25
20,10.09.2022,11.41
21,11.09.2022,9.56
22,12.09.2022,9.72
23,13.09.2022,9.13
24,14.09.2022,7.74
25,15.09.2022,8.82
26,17.09.2022,7.47
27,19.09.2022,12.63
28,20.09.2022,8.28
29,21.09.2022,8.79
30,22.09.2022,11.04
31,23.09.2022,9.4
32,24.09.2022,11.68
33,25.09.2022,10.85
34,26.09.2022,8.62
35,27.09.2022,11.41
36,29.09.2022,9.73
37,30.09.2022,7.49
38,01.10.2022,9.54
39,02.10.2022,9.94
40,03.10.2022,10.32
41,04.10.2022,10.96
42,05.10.2022,12.26
