,Date,Price (Euros)
0,04.09.2022,10.86
1,05.09.2022,10.37
2,06.09.2022,8.94
3,07.09.2022,8.79
4,08.09.2022,7.17
5,09.09.2022,6.82
6,10.09.2022,7.17
7,11.09.2022,6.91
8,12.09.2022,6.43
9,13.09.2022,5.91
10,14.09.2022,5.97
11,15.09.2022,5.56
12,16.09.2022,5.62
13,17.09.2022,5.71
14,18.09.2022,5.96
15,19.09.2022,5.85
16,20.09.2022,6.03
17,21.09.2022,6.06
18,22.09.2022,6.27
19,23.09.2022,6.02
20,24.09.2022,6.48
21,25.09.2022,6.56
22,26.09.2022,6.42
23,27.09.2022,6.62
24,28.09.2022,6.52
25,29.09.2022,6.73
26,30.09.2022,6.81
27,01.10.2022,6.74
28,02.10.2022,7.09
29,03.10.2022,6.96
30,04.10.2022,7.07
31,05.10.2022,6.98
