,Date,Price (Euros)
0,04.09.2022,0.19
1,05.09.2022,0.19
2,11.09.2022,0.1
3,12.09.2022,0.25
4,13.09.2022,0.25
5,14.09.2022,0.11
6,15.09.2022,0.15
7,16.09.2022,0.1
8,17.09.2022,0.17
9,18.09.2022,0.07
10,19.09.2022,0.13
11,20.09.2022,0.1
12,21.09.2022,0.05
13,22.09.2022,0.17
14,23.09.2022,0.12
15,24.09.2022,0.02
16,25.09.2022,0.24
17,26.09.2022,0.07
18,27.09.2022,0.08
19,28.09.2022,0.02
20,29.09.2022,0.04
21,30.09.2022,0.11
22,01.10.2022,0.09
23,02.10.2022,0.09
24,03.10.2022,0.03
25,04.10.2022,0.07
26,05.10.2022,0.06
