,Date,Price (Euros)
0,04.09.2022,0.3
1,09.09.2022,0.29
2,11.09.2022,0.21
3,12.09.2022,0.23
4,13.09.2022,0.34
5,14.09.2022,0.23
6,15.09.2022,0.16
7,16.09.2022,0.11
8,17.09.2022,0.1
9,18.09.2022,0.11
10,19.09.2022,0.06
11,20.09.2022,0.09
12,21.09.2022,0.06
13,22.09.2022,0.15
14,23.09.2022,0.12
15,24.09.2022,0.07
16,25.09.2022,0.13
17,26.09.2022,0.07
18,27.09.2022,0.07
19,28.09.2022,0.1
20,29.09.2022,0.07
21,30.09.2022,0.08
22,01.10.2022,0.09
23,02.10.2022,0.05
24,03.10.2022,0.14
25,04.10.2022,0.11
26,05.10.2022,0.04
