,Date,Price (Euros)
0,22.08.2022,0.06
1,23.08.2022,0.33
2,25.08.2022,0.5
3,26.08.2022,0.28
4,27.08.2022,1.72
5,28.08.2022,0.35
6,29.08.2022,0.72
7,30.08.2022,0.25
8,31.08.2022,0.26
9,01.09.2022,0.04
10,02.09.2022,0.13
11,03.09.2022,0.81
12,04.09.2022,0.61
13,05.09.2022,0.08
14,06.09.2022,0.4
15,07.09.2022,0.15
16,08.09.2022,0.2
17,09.09.2022,0.17
18,10.09.2022,0.88
19,11.09.2022,0.1
20,12.09.2022,0.78
21,13.09.2022,0.53
22,14.09.2022,0.29
23,15.09.2022,0.12
24,16.09.2022,0.09
25,17.09.2022,0.33
26,18.09.2022,0.6
27,19.09.2022,0.29
28,20.09.2022,0.3
29,21.09.2022,0.14
30,22.09.2022,0.15
31,23.09.2022,0.77
32,24.09.2022,0.52
33,25.09.2022,0.26
34,26.09.2022,0.41
35,27.09.2022,0.81
36,28.09.2022,0.5
37,29.09.2022,1.0
38,30.09.2022,0.91
39,01.10.2022,0.3
40,02.10.2022,0.38
41,03.10.2022,0.48
42,04.10.2022,0.43
43,05.10.2022,0.2
