,Date,Price (Euros)
0,20.08.2022,2.53
1,21.08.2022,2.52
2,22.08.2022,2.5
3,23.08.2022,2.85
4,24.08.2022,2.35
5,25.08.2022,2.34
6,26.08.2022,2.6
7,27.08.2022,2.27
8,28.08.2022,2.3
9,29.08.2022,2.44
10,30.08.2022,2.34
11,31.08.2022,2.74
12,01.09.2022,2.67
13,02.09.2022,2.46
14,03.09.2022,2.74
15,04.09.2022,3.25
16,05.09.2022,2.34
17,06.09.2022,2.95
18,07.09.2022,2.64
19,08.09.2022,2.47
20,09.09.2022,2.67
21,10.09.2022,2.26
22,11.09.2022,2.37
23,12.09.2022,2.27
24,13.09.2022,2.43
25,14.09.2022,2.1
26,15.09.2022,2.4
27,16.09.2022,2.23
28,17.09.2022,2.26
29,18.09.2022,2.97
30,19.09.2022,2.53
31,20.09.2022,2.65
32,21.09.2022,2.09
33,22.09.2022,2.38
34,23.09.2022,2.28
35,24.09.2022,2.16
36,25.09.2022,2.21
37,26.09.2022,2.5
38,27.09.2022,2.66
39,28.09.2022,2.28
40,29.09.2022,2.06
41,30.09.2022,2.27
42,01.10.2022,2.13
43,02.10.2022,2.45
44,03.10.2022,2.95
45,04.10.2022,2.48
46,05.10.2022,2.35
