,Date,Price (Euros)
0,19.08.2022,0.05
1,20.08.2022,0.08
2,21.08.2022,0.02
3,22.08.2022,0.04
4,23.08.2022,0.07
5,24.08.2022,0.02
6,25.08.2022,0.08
7,26.08.2022,0.04
8,27.08.2022,0.02
9,28.08.2022,0.03
10,29.08.2022,0.15
11,30.08.2022,0.07
12,31.08.2022,0.1
13,01.09.2022,0.02
14,02.09.2022,0.15
15,04.09.2022,0.02
16,05.09.2022,0.09
17,06.09.2022,0.02
18,07.09.2022,0.03
19,08.09.2022,0.1
20,09.09.2022,0.09
21,10.09.2022,0.14
22,11.09.2022,0.06
23,12.09.2022,0.05
24,13.09.2022,0.07
25,14.09.2022,0.07
26,15.09.2022,0.03
27,16.09.2022,0.06
28,17.09.2022,0.13
29,18.09.2022,0.02
30,19.09.2022,0.06
31,20.09.2022,0.04
32,21.09.2022,0.11
33,22.09.2022,0.03
34,23.09.2022,0.16
35,24.09.2022,0.02
36,25.09.2022,0.09
37,26.09.2022,0.03
38,27.09.2022,0.07
39,28.09.2022,0.06
40,29.09.2022,0.1
41,30.09.2022,0.12
42,01.10.2022,0.02
43,02.10.2022,0.08
44,03.10.2022,0.1
45,04.10.2022,0.13
46,05.10.2022,0.15
