,Date,Price (Euros)
0,15.08.2022,199.97
1,16.08.2022,199.99
2,17.08.2022,230.0
3,18.08.2022,194.59
4,19.08.2022,206.99
5,20.08.2022,207.45
6,22.08.2022,244.66
7,23.08.2022,205.0
8,24.08.2022,198.75
9,25.08.2022,172.49
10,26.08.2022,193.5
11,27.08.2022,197.48
12,28.08.2022,210.0
13,29.08.2022,189.5
14,30.08.2022,193.31
15,31.08.2022,212.3
16,01.09.2022,207.5
17,02.09.2022,212.5
18,03.09.2022,210.0
19,04.09.2022,248.99
20,05.09.2022,225.0
21,06.09.2022,212.75
22,07.09.2022,249.99
23,08.09.2022,219.99
24,09.09.2022,210.0
25,10.09.2022,201.99
26,11.09.2022,235.0
27,12.09.2022,299.99
28,15.09.2022,212.0
29,17.09.2022,240.0
30,19.09.2022,218.0
31,22.09.2022,200.0
32,24.09.2022,210.0
33,26.09.2022,229.5
34,27.09.2022,220.43
35,28.09.2022,215.0
36,29.09.2022,255.6
37,30.09.2022,200.0
38,01.10.2022,238.0
39,02.10.2022,239.0
40,03.10.2022,198.0
41,04.10.2022,221.67
42,05.10.2022,235.0
