,Date,Price (Euros)
0,15.08.2022,0.18
1,16.08.2022,0.06
2,18.08.2022,0.02
3,20.08.2022,0.02
4,21.08.2022,0.09
5,22.08.2022,0.1
6,23.08.2022,0.03
7,26.08.2022,0.1
8,27.08.2022,0.04
9,30.08.2022,0.04
10,31.08.2022,0.05
11,01.09.2022,0.1
12,02.09.2022,0.07
13,03.09.2022,0.02
14,04.09.2022,0.09
15,05.09.2022,0.02
16,06.09.2022,0.19
17,07.09.2022,0.05
18,08.09.2022,0.03
19,09.09.2022,0.07
20,10.09.2022,0.04
21,12.09.2022,0.07
22,13.09.2022,0.05
23,14.09.2022,0.02
24,15.09.2022,0.05
25,16.09.2022,0.33
26,17.09.2022,0.06
27,19.09.2022,0.02
28,20.09.2022,0.02
29,21.09.2022,0.03
30,22.09.2022,0.12
31,23.09.2022,0.04
32,24.09.2022,0.15
33,25.09.2022,0.03
34,26.09.2022,0.09
35,27.09.2022,0.1
36,28.09.2022,0.04
37,29.09.2022,0.02
38,30.09.2022,0.06
39,01.10.2022,0.07
40,04.10.2022,0.04
41,05.10.2022,0.03
