,Date,Price (Euros)
0,06.08.2022,0.09
1,07.08.2022,0.02
2,08.08.2022,0.3
3,09.08.2022,0.24
4,10.08.2022,0.02
5,12.08.2022,0.12
6,13.08.2022,0.1
7,14.08.2022,0.04
8,16.08.2022,0.1
9,18.08.2022,0.04
10,20.08.2022,0.02
11,21.08.2022,0.02
12,24.08.2022,0.1
13,25.08.2022,0.04
14,26.08.2022,0.05
15,27.08.2022,0.05
16,31.08.2022,0.09
17,03.09.2022,0.03
18,04.09.2022,0.02
19,05.09.2022,0.03
20,06.09.2022,0.02
21,07.09.2022,0.02
22,08.09.2022,0.04
23,10.09.2022,0.08
24,12.09.2022,0.12
25,13.09.2022,0.04
26,15.09.2022,0.08
27,19.09.2022,0.1
28,20.09.2022,0.1
29,21.09.2022,0.02
30,23.09.2022,0.11
31,24.09.2022,0.15
32,27.09.2022,0.02
33,01.10.2022,0.02
34,02.10.2022,0.1
35,03.10.2022,0.09
36,05.10.2022,0.05
