,Date,Price (Euros)
0,20.08.2022,0.14
1,21.08.2022,0.1
2,22.08.2022,0.09
3,23.08.2022,0.18
4,24.08.2022,0.25
5,25.08.2022,0.14
6,26.08.2022,0.18
7,27.08.2022,0.12
8,28.08.2022,0.2
9,30.08.2022,0.16
10,31.08.2022,0.15
11,01.09.2022,0.19
12,02.09.2022,0.29
13,03.09.2022,0.19
14,05.09.2022,0.2
15,06.09.2022,0.02
16,07.09.2022,0.13
17,08.09.2022,0.16
18,09.09.2022,0.25
19,11.09.2022,0.19
20,12.09.2022,0.14
21,13.09.2022,0.14
22,14.09.2022,0.7
23,15.09.2022,0.21
24,16.09.2022,0.09
25,17.09.2022,0.23
26,18.09.2022,0.19
27,19.09.2022,0.17
28,20.09.2022,0.22
29,21.09.2022,0.16
30,23.09.2022,0.28
31,24.09.2022,0.23
32,25.09.2022,0.23
33,26.09.2022,0.09
34,27.09.2022,0.27
35,28.09.2022,0.22
36,29.09.2022,0.22
37,30.09.2022,0.16
38,01.10.2022,0.18
39,02.10.2022,0.08
40,03.10.2022,0.18
41,04.10.2022,0.11
42,05.10.2022,0.22
