,Date,Price (Euros)
0,19.08.2022,0.11
1,20.08.2022,0.29
2,22.08.2022,0.29
3,23.08.2022,0.14
4,24.08.2022,0.52
5,25.08.2022,0.12
6,26.08.2022,0.1
7,27.08.2022,0.99
8,29.08.2022,0.12
9,30.08.2022,0.18
10,31.08.2022,0.38
11,01.09.2022,0.29
12,02.09.2022,0.15
13,04.09.2022,0.38
14,05.09.2022,0.29
15,06.09.2022,0.02
16,07.09.2022,0.35
17,08.09.2022,0.6
18,09.09.2022,0.25
19,10.09.2022,0.2
20,11.09.2022,0.1
21,12.09.2022,0.49
22,13.09.2022,0.2
23,15.09.2022,0.2
24,16.09.2022,0.12
25,17.09.2022,0.7
26,18.09.2022,0.15
27,19.09.2022,0.2
28,20.09.2022,0.08
29,21.09.2022,0.15
30,22.09.2022,0.28
31,23.09.2022,0.65
32,25.09.2022,1.1
33,26.09.2022,0.17
34,27.09.2022,0.49
35,28.09.2022,0.19
36,29.09.2022,0.2
37,30.09.2022,0.14
38,01.10.2022,0.49
39,03.10.2022,0.81
40,04.10.2022,0.39
41,05.10.2022,0.2
