,Date,Price (Euros)
0,20.08.2022,0.15
1,21.08.2022,0.08
2,22.08.2022,0.08
3,23.08.2022,0.28
4,24.08.2022,0.18
5,25.08.2022,0.21
6,26.08.2022,0.13
7,27.08.2022,0.25
8,28.08.2022,0.05
9,29.08.2022,0.12
10,30.08.2022,0.16
11,31.08.2022,0.03
12,02.09.2022,0.26
13,03.09.2022,0.1
14,04.09.2022,0.19
15,05.09.2022,0.17
16,06.09.2022,0.15
17,09.09.2022,0.14
18,10.09.2022,0.13
19,11.09.2022,0.19
20,12.09.2022,0.1
21,13.09.2022,0.22
22,14.09.2022,0.15
23,15.09.2022,0.22
24,16.09.2022,0.11
25,17.09.2022,0.15
26,18.09.2022,0.16
27,19.09.2022,0.23
28,20.09.2022,0.16
29,21.09.2022,0.11
30,22.09.2022,0.1
31,23.09.2022,0.19
32,24.09.2022,0.21
33,25.09.2022,0.3
34,26.09.2022,0.1
35,27.09.2022,0.28
36,28.09.2022,0.18
37,29.09.2022,0.27
38,30.09.2022,0.2
39,01.10.2022,0.23
40,02.10.2022,0.12
41,03.10.2022,0.31
42,04.10.2022,0.18
43,05.10.2022,0.18
