,Date,Price (Euros)
0,25.04.2022,0.13
1,26.04.2022,0.05
2,04.05.2022,0.09
3,05.05.2022,0.09
4,08.05.2022,0.05
5,09.05.2022,0.1
6,14.05.2022,0.19
7,21.05.2022,0.09
8,24.05.2022,0.05
9,28.05.2022,0.07
10,29.05.2022,0.02
11,31.05.2022,0.02
12,07.06.2022,0.05
13,16.06.2022,0.19
14,22.06.2022,0.02
15,27.06.2022,0.02
16,29.06.2022,0.29
17,13.07.2022,0.08
18,30.07.2022,0.08
19,01.08.2022,0.02
20,05.08.2022,0.13
21,08.08.2022,0.02
22,13.08.2022,0.12
23,14.08.2022,0.02
24,18.08.2022,0.05
25,19.08.2022,0.12
26,20.08.2022,0.19
27,27.08.2022,0.12
28,06.09.2022,0.02
29,16.09.2022,0.02
30,22.09.2022,0.1
31,27.09.2022,0.09
32,29.09.2022,0.15
33,04.10.2022,0.02
