,Date,Price (Euros)
0,13.05.2022,0.02
1,18.05.2022,0.1
2,20.05.2022,0.02
3,21.05.2022,0.1
4,24.05.2022,0.07
5,08.06.2022,0.1
6,10.06.2022,0.02
7,11.06.2022,0.2
8,22.06.2022,0.02
9,28.06.2022,0.08
10,03.07.2022,0.1
11,06.07.2022,0.05
12,08.07.2022,0.02
13,13.07.2022,0.35
14,20.07.2022,0.1
15,22.07.2022,0.35
16,24.07.2022,0.09
17,26.07.2022,0.05
18,27.07.2022,0.35
19,01.08.2022,0.02
20,05.08.2022,0.05
21,19.08.2022,0.02
22,24.08.2022,0.17
23,27.08.2022,0.11
24,29.08.2022,0.04
25,11.09.2022,0.23
26,14.09.2022,0.1
27,15.09.2022,0.02
28,16.09.2022,0.09
29,19.09.2022,0.02
30,22.09.2022,0.08
31,26.09.2022,0.06
32,27.09.2022,0.09
33,30.09.2022,0.09
34,03.10.2022,0.09
35,04.10.2022,0.09
