,Date,Price (Euros)
0,04.06.2022,0.02
1,07.06.2022,0.05
2,08.06.2022,0.1
3,10.06.2022,0.05
4,11.06.2022,0.15
5,15.06.2022,0.39
6,22.06.2022,0.05
7,24.06.2022,0.14
8,26.06.2022,0.25
9,28.06.2022,0.02
10,30.06.2022,0.04
11,02.07.2022,0.08
12,05.07.2022,0.12
13,23.07.2022,0.09
14,24.07.2022,0.16
15,26.07.2022,0.05
16,28.07.2022,0.02
17,31.07.2022,0.2
18,01.08.2022,0.02
19,05.08.2022,0.2
20,06.08.2022,0.19
21,09.08.2022,0.13
22,11.08.2022,0.02
23,17.08.2022,0.25
24,18.08.2022,0.05
25,28.08.2022,0.09
26,31.08.2022,0.08
27,01.09.2022,0.39
28,06.09.2022,0.02
29,10.09.2022,0.15
30,29.09.2022,0.15
31,03.10.2022,0.09
32,04.10.2022,0.06
