,Date,Price (Euros)
0,14.05.2022,0.04
1,18.05.2022,0.1
2,20.05.2022,0.09
3,21.05.2022,0.04
4,24.05.2022,0.05
5,29.05.2022,0.02
6,01.06.2022,0.12
7,08.06.2022,0.1
8,09.06.2022,0.25
9,10.06.2022,0.04
10,17.06.2022,0.05
11,22.06.2022,0.05
12,29.06.2022,0.05
13,04.07.2022,0.02
14,06.07.2022,0.1
15,14.07.2022,0.02
16,21.07.2022,0.08
17,04.08.2022,0.02
18,05.08.2022,0.23
19,12.08.2022,0.08
20,13.08.2022,0.39
21,19.08.2022,0.03
22,25.08.2022,0.02
23,28.08.2022,0.09
24,07.09.2022,0.09
25,08.09.2022,0.02
26,13.09.2022,0.19
27,14.09.2022,0.02
28,16.09.2022,0.09
29,20.09.2022,0.05
30,25.09.2022,0.09
31,30.09.2022,0.09
