,Date,Price (Euros)
0,19.04.2022,4.0
1,23.04.2022,3.0
2,26.04.2022,1.2
3,27.04.2022,2.22
4,07.05.2022,1.9
5,10.05.2022,3.0
6,12.05.2022,1.0
7,24.05.2022,0.49
8,26.05.2022,0.49
9,01.06.2022,1.5
10,02.06.2022,0.49
11,10.06.2022,1.2
12,15.06.2022,0.49
13,16.06.2022,1.5
14,27.06.2022,0.49
15,03.07.2022,1.5
16,15.07.2022,0.98
17,29.07.2022,0.95
18,01.08.2022,1.0
19,02.08.2022,0.25
20,03.08.2022,0.2
21,24.08.2022,0.77
22,29.08.2022,0.5
23,04.09.2022,0.5
24,09.09.2022,0.5
25,15.09.2022,0.98
26,23.09.2022,0.49
27,24.09.2022,0.5
28,01.10.2022,0.45
29,04.10.2022,0.29
